DATE,THREAT ACTORS,AFFAECTED GROUOS,SECURITY INCIDENT TYPE,SECURITY INCIDENT SUB-TYPE,STATE,LAC,LOCATION,NUMBER OF PEOPLE KIDNAPPED,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE INJURED,BREAKDOWN OF INCIDENT,MONTH,YEAR
2/11/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Gwagwalada,Other,1,1,0,"Kidnappers Kill Pastor’s Son, Abduct Wife Near Abuja",Feb,2025
2/25/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Road,2,0,0,"Reportedly, unidentified gunmen have kidnapped an unconfirmed number of individuals at the aforementioned location.",Feb,2025
2/24/2025,Criminals,Civilians,Abduction,Abduction,Federal Capital Territory,Abuja Municipal,Residence,1,0,0,"At a specified location and time, gunmen reportedly abducted a man from his residence and have yet to contact the victim’s family.",Feb,2025
2/25/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Community,0,0,0,Gunmen abduct victims abandon vehicles near Abacha barracks in Abuja,Feb,2025
3/2/2025,NSAG - Non State Armed Group,Civilians,Abduction,Abduction,Federal Capital Territory,Abuja Municipal,Road,1,0,0,Gunmen suspected to be kidnappers have abducted a man identified as a senior police officer along Kubwa Expressway,Mar,2025
3/21/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Residence,2,0,0,Gunmen abduct female Naval officer in Abuja,Mar,2025
5/8/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Other,1,0,0,Chinese national abducted in Abuja,May,2025
5/24/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Residence,1,0,1,"Gunmen abduct man, shoot another in Byazhin, Abuja",May,2025
6/5/2025,NSAG - Non State Armed Group,Civilians,Abduction,Abduction,Federal Capital Territory,Gwagwalada,Public Location,3,0,0,"Unidentified armed individuals reportedly abducted three persons returning from the market at the aforementioned location and time.

The incident occurred in the early evening hours, suggesting a level of premeditation and familiarity with local movement patterns. The assailants' identities and motives remain unknown at this time, and there is no current information on the victims’ whereabouts.

This development underscores the ongoing security challenges in peri-urban areas of the FCT, particularly those bordering rural communities in Niger State, where similar incidents have previously been reported.",Jun,2025
7/3/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Road,1,0,0,Soyinka rescued by joint forces after abduction from Abuja residence,Jul,2025
7/22/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Road,2,0,0,Reliable reports indicate that gunmen suspected to be kidnappers abducted two individuals at the specified location and time.,Jul,2025
8/20/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Residence,2,0,0,"At the specified location and time, unidentified armed assailants reportedly abducted two individuals.",Aug,2025
9/15/2025,Criminals,Civilians,Abduction,Abduction,Federal Capital Territory,Abuja Municipal,Other,2,1,0,"Credible reports indicate that suspected kidnappers abducted two individuals at the aforementioned location and time.

The BSIL intel gathered that members of a Volunteer Vigilante group responded to the incident and engaged the kidnappers in a gunfight. One vigilante was reportedly shot and killed during the exchange. 
The situation has heightened security concerns in the area.",Sep,2025
10/2/2025,Criminals,Civilians,Abduction,Abduction,Federal Capital Territory,Bwari,Other,3,1,0,"Credible reports indicate that suspected armed kidnappers attacked residents at the specified location and time.

During the incident, one person was killed, and three children were abducted.

The situation has generated heightened fear among residents, with concerns of further abductions and reprisals as armed groups continue to exploit security gaps in peri-urban settlements of the FCT.",Oct,2025
10/1/2025,NSAG - Non State Armed Group,Civilians,Abduction,Abduction,Federal Capital Territory,Bwari,Community,4,0,0,"Gunmen kidnap vet doctor, three children in Abuja border village",Oct,2025
10/21/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abuja Municipal,Other,1,0,0,Man abducted from Abuja found dead in Kaduna,Oct,2025
11/26/2025,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Community,7,0,0,"Bandits abduct teenage boy, six girls from FCT community",Nov,2025
12/5/2025,Bandits,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Other,5,0,0,"A joint team of the Nigeria Police Force (FCT Anti-Kidnapping Unit), the Nigerian Army, and the Department of State Services (DSS) rescued seven individuals abducted from Ushafa community on December 5, 2025, by suspected bandits.",Dec,2025
Total,,,,,,,,,,,,,335815
